env, py, comm, weather, jobid, nodes, ranks, r/gpu, evts
7.9, 26.9, 22.6, 0.95965, 2363201, 1, 4, 1, 32
77.6, 96.5, 92.3, 0.95986, 2363225, 1, 4, 1, 320
53.0, 69.6, 65.0, 1.23309, 2363226, 1, 8, 2, 320
57.6, 73.9, 69.0, 2.11471, 2363238, 1, 12, 3, 320
57.5, 74.5, 69.3, 2.87192, 2363239, 1, 16, 4, 320
1764.0, 1784.2, 1776.3, 2.11182, 2363423, 10, 120, 3, 100000
1765.2, 1790.9, 1779.4, 2.81818, 2363424, 10, 160, 4, 100000
227.0, 252.1, 241.1, 2.81640, 2363425, 10, 160, 4, 12800
57.8, 79.9, 71.9, 2.84656, 2363426, 10, 160, 4, 3200
114.4, 134.5, 128.3, 2.81786, 2363427, 10, 160, 4, 6400
1763.9, 1796.1, 1780.4, 3.52304, 2363428, 10, 200, 5, 100000
1766.1, 1802.0, 1784.5, 4.22711, 2363429, 10, 240, 6, 100000
1769.0, 1797.8, 1789.2, 4.93101, 2363430, 10, 280, 7, 100000
1767.7, 1800.4, 1789.1, 5.63874, 2363431, 10, 320, 8, 100000
227.5, 262.6, 248.8, 5.64884, 2363432, 10, 320, 8, 12800
58.1, 91.0, 79.5, 5.79998, 2363433, 10, 320, 8, 3200
114.5, 150.2, 139.3, 5.67538, 2363434, 10, 320, 8, 6400
2412.2, 2427.5, 2420.3, 0.95631, 2363435, 10, 40, 1, 100000
1549.4, 1570.5, 1560.2, 1.23305, 2363436, 10, 80, 2, 100000
201.5, 222.0, 212.0, 1.23317, 2363437, 10, 80, 2, 12800
53.6, 74.4, 64.2, 1.23379, 2363438, 10, 80, 2, 3200
105.6, 123.5, 116.1, 1.23365, 2363439, 10, 80, 2, 6400
778.1, 796.1, 791.0, 1.23282, 2363485, 20, 160, 2, 100000
883.2, 905.2, 899.1, 2.11207, 2363486, 20, 240, 3, 100000
884.3, 913.3, 903.1, 2.81752, 2363487, 20, 320, 4, 100000
227.2, 253.9, 245.9, 2.81778, 2363488, 20, 320, 4, 25600
882.8, 913.3, 905.0, 3.52325, 2363489, 20, 400, 5, 100000
886.0, 922.4, 911.0, 4.22677, 2363490, 20, 480, 6, 100000
885.3, 921.1, 913.3, 4.93316, 2363491, 20, 560, 7, 100000
887.5, 930.8, 917.9, 5.63821, 2363492, 20, 640, 8, 100000
1242.9, 1260.2, 1252.9, 0.95624, 2363493, 20, 80, 1, 100000
445.6, 478.6, 461.4, 4.93409, 2363731, 40, 1120, 7, 100000
447.2, 480.8, 463.2, 5.64141, 2363732, 40, 1280, 8, 100000
604.2, 624.3, 616.9, 0.95672, 2363733, 40, 160, 1, 100000
479.1, 507.0, 498.0, 1.23271, 2363734, 40, 320, 2, 100000
444.1, 477.7, 467.0, 2.11193, 2363735, 40, 480, 3, 100000
444.2, 495.3, 477.7, 2.81783, 2363736, 40, 640, 4, 100000
227.1, 269.8, 255.4, 2.81721, 2363737, 40, 640, 4, 51200
455.0, 503.0, 488.4, 3.52554, 2363738, 40, 800, 5, 100000
445.4, 476.0, 459.8, 4.22733, 2363739, 40, 960, 6, 100000
297.3, 330.4, 311.5, 3.52304, 2364127, 60, 1200, 5, 100000
297.5, 336.4, 313.0, 4.22851, 2364128, 60, 1440, 6, 100000
297.6, 370.4, 314.1, 4.93733, 2364129, 60, 1680, 7, 100000
300.4, 366.4, 318.2, 5.64423, 2364130, 60, 1920, 8, 100000
434.7, 464.8, 449.6, 0.95695, 2364131, 60, 240, 1, 100000
313.7, 350.3, 336.7, 1.23302, 2364132, 60, 480, 2, 100000
295.6, 339.4, 325.6, 2.11184, 2364133, 60, 720, 3, 100000
297.2, 325.7, 309.3, 2.81730, 2364134, 60, 960, 4, 100000
232.9, 264.0, 245.8, 2.81764, 2364461, 77, 1232, 4, 100000
230.5, 268.9, 245.5, 3.52296, 2364462, 77, 1540, 5, 100000
233.9, 275.7, 251.4, 4.23022, 2364464, 77, 1848, 6, 100000
233.4, 278.5, 250.9, 4.93923, 2364465, 77, 2156, 7, 100000
233.3, 283.2, 252.0, 5.64675, 2364466, 77, 2464, 8, 100000
345.0, 370.5, 362.5, 0.95716, 2364467, 77, 308, 1, 100000
214.2, 256.1, 241.4, 1.23315, 2364468, 77, 616, 2, 100000
231.9, 259.4, 243.6, 2.11176, 2364469, 77, 924, 3, 100000
224.0, 258.8, 236.8, 2.81718, 2366224, 80, 1280, 4, 100000
224.5, 260.6, 239.1, 3.52263, 2366225, 80, 1600, 5, 100000
225.2, 265.9, 241.8, 4.22929, 2366226, 80, 1920, 6, 100000
223.7, 271.6, 243.2, 4.93974, 2366227, 80, 2240, 7, 100000
226.9, 281.4, 245.5, 5.64699, 2366228, 80, 2560, 8, 100000
307.4, 333.2, 325.3, 0.95764, 2366229, 80, 320, 1, 100000
198.0, 237.4, 225.7, 1.23319, 2366230, 80, 640, 2, 100000
223.8, 250.7, 235.3, 2.11207, 2366231, 80, 960, 3, 100000
